,2020-09-01,2020-10-01,2020-11-01
Alger_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alexander_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,534.0,851.0,0.0
Alexander_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alcorn_Mississippi_UnitedStates.NYT_ConfirmedCases.data,834.0,1021.0,0.0
Alcorn_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegany_Maryland_UnitedStates.NYT_ConfirmedCases.data,474.0,766.0,0.0
Allegany_Maryland_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegany_NewYork_UnitedStates.NYT_ConfirmedCases.data,114.0,336.0,0.0
Allegany_NewYork_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alleghany_Virginia_UnitedStates.NYT_ConfirmedCases.data,79.0,92.0,0.0
Alleghany_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegheny_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,12348.0,15101.0,0.0
Allegheny_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allen_Kansas_UnitedStates.NYT_ConfirmedCases.data,82.0,123.0,0.0
Allen_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alleghany_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,237.0,311.0,0.0
Alleghany_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allen_Kentucky_UnitedStates.NYT_ConfirmedCases.data,371.0,562.0,0.0
Allen_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allen_Louisiana_UnitedStates.NYT_ConfirmedCases.data,1596.0,1851.0,0.0
Allen_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegan_Michigan_UnitedStates.NYT_ConfirmedCases.data,785.0,1289.0,0.0
Allegan_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allen_Indiana_UnitedStates.NYT_ConfirmedCases.data,6440.0,8921.0,0.0
Allen_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anchorage_Alaska_UnitedStates.NYT_ConfirmedCases.data,4580.0,8349.0,0.0
Anchorage_Alaska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allendale_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,398.0,428.0,0.0
Allendale_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alpine_California_UnitedStates.NYT_ConfirmedCases.data,2.0,3.0,0.0
Alpine_California_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anderson_Kansas_UnitedStates.NYT_ConfirmedCases.data,85.0,215.0,0.0
Anderson_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alpena_Michigan_UnitedStates.NYT_ConfirmedCases.data,153.0,180.0,0.0
Alpena_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Amador_California_UnitedStates.NYT_ConfirmedCases.data,293.0,343.0,0.0
Amador_California_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allen_Ohio_UnitedStates.NYT_ConfirmedCases.data,1479.0,2367.0,0.0
Allen_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Amelia_Virginia_UnitedStates.NYT_ConfirmedCases.data,124.0,148.0,0.0
Amelia_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Amherst_Virginia_UnitedStates.NYT_ConfirmedCases.data,403.0,614.0,0.0
Amherst_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Amite_Mississippi_UnitedStates.NYT_ConfirmedCases.data,342.0,436.0,0.0
Amite_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anderson_Tennessee_UnitedStates.NYT_ConfirmedCases.data,1224.0,1727.0,0.0
Anderson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Andrew_Missouri_UnitedStates.NYT_ConfirmedCases.data,265.0,428.0,0.0
Andrew_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Androscoggin_Maine_UnitedStates.NYT_ConfirmedCases.data,737.0,862.0,0.0
Androscoggin_Maine_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anderson_Texas_UnitedStates.NYT_ConfirmedCases.data,2840.0,2949.0,0.0
Anderson_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Anderson_Kentucky_UnitedStates.NYT_ConfirmedCases.data,167.0,278.0,0.0
