fips_code,February,March,April,May,June,July,August,September,October,November
54041.0,0.0,0.0,4.0,9.0,19.0,26.0,32.0,38.0,82.0,192.0
54043.0,0.0,0.0,2.0,6.0,8.0,59.0,115.0,172.0,244.0,337.0
54045.0,0.0,2.0,13.0,17.0,22.0,131.0,484.0,622.0,751.0,901.0
54047.0,0.0,0.0,6.0,6.0,6.0,26.0,70.0,87.0,128.0,186.0
54049.0,0.0,5.0,45.0,51.0,59.0,170.0,220.0,285.0,377.0,566.0
54051.0,0.0,4.0,12.0,30.0,40.0,122.0,133.0,179.0,316.0,747.0
54053.0,0.0,3.0,12.0,15.0,18.0,45.0,104.0,143.0,175.0,234.0
54055.0,0.0,2.0,10.0,13.0,39.0,136.0,310.0,427.0,732.0,1024.0
54057.0,0.0,0.0,17.0,46.0,56.0,107.0,145.0,175.0,206.0,496.0
54059.0,0.0,0.0,2.0,7.0,20.0,117.0,243.0,385.0,648.0,749.0
54061.0,0.0,31.0,102.0,133.0,171.0,885.0,1126.0,2049.0,2348.0,2706.0
54063.0,0.0,0.0,5.0,7.0,12.0,19.0,123.0,151.0,206.0,289.0
54065.0,0.0,1.0,11.0,18.0,20.0,26.0,38.0,56.0,109.0,204.0
54067.0,0.0,0.0,6.0,8.0,10.0,32.0,52.0,112.0,191.0,219.0
54069.0,0.0,10.0,27.0,42.0,91.0,246.0,293.0,375.0,604.0,965.0
54071.0,0.0,0.0,3.0,12.0,13.0,37.0,44.0,53.0,77.0,80.0
54073.0,0.0,1.0,2.0,4.0,5.0,7.0,15.0,18.0,24.0,49.0
54075.0,0.0,0.0,2.0,21.0,25.0,41.0,42.0,59.0,69.0,80.0
54077.0,0.0,3.0,13.0,25.0,78.0,123.0,140.0,157.0,199.0,321.0
54079.0,0.0,4.0,25.0,34.0,55.0,158.0,283.0,583.0,863.0,1332.0
54081.0,0.0,3.0,8.0,16.0,52.0,164.0,363.0,528.0,854.0,1092.0
54083.0,0.0,1.0,4.0,131.0,156.0,207.0,224.0,259.0,425.0,535.0
54085.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,13.0,36.0,88.0
54087.0,0.0,2.0,6.0,9.0,11.0,14.0,31.0,53.0,115.0,127.0
54089.0,0.0,0.0,1.0,1.0,2.0,7.0,19.0,55.0,109.0,201.0
