fips_code,covid_rate,social_score
1001.0,70.0,4.929032258064517
1003.0,190.0,4.703225806451614
1005.0,0.0,4.441935483870967
1007.0,30.0,4.580645161290323
1009.0,50.0,4.82258064516129
1011.0,30.0,3.1645161290322563
1013.0,10.0,4.261290322580644
1015.0,90.0,4.9064516129032265
1017.0,360.0,4.7870967741935475
1019.0,20.0,4.6
1021.0,110.0,4.903225806451613
1023.0,30.0,4.074193548387095
1025.0,0.0,4.258064516129032
1027.0,20.0,4.06774193548387
1029.0,50.0,4.154838709677418
1031.0,0.0,4.9064516129032265
1033.0,40.0,4.935483870967742
1035.0,0.0,3.996774193548387
1037.0,40.0,3.2225806451612886
1039.0,20.0,4.745161290322581
1041.0,10.0,4.116129032258064
1043.0,80.0,4.929032258064517
1045.0,0.0,4.925806451612903
1047.0,20.0,4.370967741935484
1049.0,40.0,4.841935483870968
1051.0,130.0,4.925806451612903
1053.0,10.0,4.629032258064516
1055.0,80.0,4.925806451612903
1057.0,10.0,4.429032258064516
1059.0,30.0,4.67741935483871
1061.0,0.0,4.561290322580645
1063.0,30.0,3.299999999999998
1065.0,10.0,3.4032258064516134
1067.0,0.0,3.680645161290323
1069.0,90.0,4.925806451612903
1071.0,80.0,4.5838709677419365
1073.0,2700.0,4.703225806451614
1075.0,10.0,4.3419354838709685
1077.0,120.0,4.670967741935484
1079.0,30.0,4.564516129032258
1081.0,750.0,4.587096774193548
1083.0,220.0,4.925806451612903
1085.0,10.0,3.3903225806451607
1087.0,10.0,4.241935483870966
1089.0,990.0,4.767741935483872
1091.0,40.0,4.361290322580646
1093.0,90.0,4.809677419354839
1095.0,70.0,4.967741935483871
1097.0,520.0,4.829032258064516
1099.0,10.0,4.093548387096773
1101.0,290.0,4.848387096774194
1103.0,200.0,4.958064516129032
1105.0,0.0,3.0999999999999983
1107.0,40.0,3.319354838709678
1109.0,40.0,4.800000000000001
1111.0,20.0,4.5774193548387085
1113.0,10.0,4.961290322580646
1115.0,150.0,4.980645161290322
1117.0,880.0,4.851612903225806
1119.0,10.0,4.041935483870967
1121.0,70.0,4.961290322580646
1123.0,120.0,4.851612903225806
1125.0,290.0,4.819354838709677
1127.0,320.0,4.925806451612903
1129.0,30.0,3.248387096774193
1131.0,30.0,3.2161290322580633
1133.0,20.0,4.580645161290323
4001.0,160.0,3.299999999999998
4003.0,40.0,4.106451612903225
4005.0,810.0,3.5870967741935478
4007.0,10.0,3.980645161290323
4009.0,20.0,3.912903225806452
4011.0,10.0,3.1645161290322563
4012.0,20.0,3.299999999999998
4013.0,715.4545454545454,4.8354838709677415
4015.0,70.0,4.154838709677418
4017.0,910.0,4.0
4019.0,2020.0,4.525806451612904
4021.0,620.0,4.7290322580645165
4023.0,20.0,4.038709677419354
4025.0,210.0,4.080645161290321
4027.0,90.0,4.025806451612902
5001.0,10.0,4.138709677419353
5003.0,10.0,4.13548387096774
5005.0,10.0,4.641935483870967
5007.0,380.0,4.848387096774194
5009.0,10.0,4.687096774193549
5011.0,40.0,3.196774193548387
5013.0,0.0,3.1387096774193535
5015.0,0.0,4.270967741935484
5017.0,10.0,3.1645161290322563
5019.0,240.0,4.04516129032258
5021.0,0.0,4.122580645161289
5023.0,610.0,4.4645161290322575
5025.0,50.0,3.112903225806451
5027.0,10.0,4.467741935483871
5029.0,10.0,4.66774193548387
5031.0,80.0,4.758064516129032
5033.0,10.0,4.951612903225806
5035.0,170.0,4.961290322580646
5037.0,10.0,4.503225806451613
5039.0,0.0,3.170967741935483
5041.0,20.0,4.093548387096773
5043.0,10.0,4.235483870967742
5045.0,360.0,4.829032258064516
5047.0,0.0,3.9483870967741943
5049.0,0.0,3.1516129032258053
5051.0,310.0,4.732258064516128
5053.0,30.0,4.5290322580645155
5055.0,10.0,4.877419354838709
5057.0,10.0,4.2870967741935475
5059.0,10.0,4.864516129032259
5061.0,10.0,3.5193548387096776
5063.0,30.0,4.635483870967741
5065.0,0.0,3.11290322580645
5067.0,0.0,4.232258064516127
5069.0,330.0,4.738709677419355
5071.0,10.0,4.4870967741935495
5073.0,0.0,3.145161290322579
5075.0,10.0,4.3
5077.0,0.0,3.1129032258064506
5079.0,60.0,3.2483870967741937
5081.0,0.0,3.6096774193548398
5083.0,0.0,3.5290322580645177
5085.0,10.0,4.9322580645161285
5087.0,0.0,3.319354838709678
5089.0,0.0,4.038709677419354
5091.0,0.0,4.803225806451613
5093.0,0.0,4.645161290322581
5095.0,0.0,3.990322580645161
5097.0,0.0,3.0225806451612884
5099.0,10.0,3.4806451612903224
5101.0,10.0,3.203225806451611
5103.0,0.0,4.09032258064516
5105.0,10.0,3.222580645161291
5107.0,0.0,4.016129032258063
5109.0,10.0,4.06774193548387
5111.0,50.0,4.44516129032258
5113.0,10.0,4.029032258064515
5115.0,50.0,4.819354838709677
5117.0,0.0,3.403225806451612
5119.0,1020.0,4.870967741935484
5121.0,10.0,4.335483870967742
5123.0,10.0,4.487096774193549
5125.0,100.0,4.948387096774193
5127.0,0.0,3.074193548387096
5129.0,20.0,3.0870967741935478
5131.0,70.0,4.916129032258064
5133.0,10.0,3.4419354838709686
5135.0,0.0,4.154838709677418
5137.0,50.0,4.009677419354837
5139.0,80.0,4.5516129032258075
5141.0,190.0,4.087096774193547
5143.0,190.0,4.632258064516129
5145.0,100.0,4.925806451612903
5147.0,10.0,3.241935483870966
5149.0,0.0,4.203225806451612
6001.0,3130.0,4.354838709677419
6003.0,0.0,4.033424505910899
6005.0,20.0,4.216129032258064
6007.0,80.0,4.219354838709678
6009.0,30.0,3.9258064516129023
6011.0,10.0,3.9516129032258065
6013.0,2120.0,4.4225806451612915
6015.0,0.0,3.851612903225807
6017.0,150.0,4.064516129032258
6019.0,530.0,4.47741935483871
6021.0,20.0,3.9612903225806453
6023.0,18.18181818181818,3.5032258064516117
6025.0,330.0,3.880645161290321
6027.0,80.0,3.8870967741935485
6029.0,830.0,4.52258064516129
6031.0,30.0,4.451612903225806
6033.0,0.0,3.62258064516129
6035.0,0.0,3.648387096774194
6037.0,2743.6363636363635,4.580645161290323
6039.0,210.0,4.022580645161288
6041.0,990.0,3.916129032258065
6043.0,0.0,2.8483870967741924
6045.0,40.0,3.6193548387096777
6047.0,100.0,4.6000000000000005
6049.0,0.0,3.19032258064516
6051.0,130.0,2.6387096774193535
6053.0,400.0,3.8677419354838714
6055.0,140.0,4.032258064516129
6057.0,210.0,4.077419354838709
