fips_code,February,March,April,May,June,July,August,September,October,November
27083.0,0.0,1.0,6.0,49.0,239.0,119.0,111.0,213.0,320.0,445.0
27085.0,0.0,0.0,4.0,33.0,44.0,44.0,237.0,141.0,107.0,571.0
27087.0,0.0,1.0,1.0,4.0,1.0,15.0,13.0,14.0,89.0,29.0
27089.0,0.0,0.0,1.0,11.0,0.0,15.0,9.0,17.0,124.0,133.0
27091.0,0.0,25.0,63.0,42.0,26.0,46.0,34.0,226.0,184.0,171.0
27093.0,0.0,1.0,10.0,34.0,13.0,25.0,25.0,106.0,98.0,391.0
27095.0,0.0,0.0,2.0,17.0,13.0,22.0,48.0,70.0,255.0,591.0
27097.0,0.0,0.0,5.0,41.0,12.0,23.0,36.0,163.0,595.0,473.0
27099.0,0.0,13.0,15.0,290.0,603.0,143.0,115.0,169.0,212.0,371.0
27101.0,0.0,0.0,13.0,26.0,12.0,69.0,21.0,35.0,130.0,118.0
27103.0,0.0,3.0,8.0,76.0,57.0,154.0,144.0,111.0,136.0,399.0
27105.0,0.0,0.0,742.0,797.0,113.0,86.0,127.0,114.0,431.0,369.0
27107.0,0.0,0.0,8.0,5.0,7.0,14.0,12.0,12.0,87.0,87.0
27109.0,0.0,53.0,212.0,361.0,421.0,541.0,448.0,508.0,970.0,1129.0
27111.0,0.0,1.0,8.0,59.0,24.0,72.0,130.0,179.0,541.0,781.0
27113.0,0.0,0.0,1.0,18.0,31.0,20.0,18.0,32.0,107.0,104.0
27115.0,0.0,0.0,56.0,33.0,11.0,24.0,31.0,206.0,244.0,286.0
27117.0,0.0,0.0,2.0,10.0,13.0,117.0,45.0,52.0,143.0,151.0
27119.0,0.0,0.0,27.0,34.0,18.0,46.0,75.0,134.0,390.0,867.0
27121.0,0.0,0.0,0.0,9.0,1.0,28.0,26.0,36.0,76.0,185.0
27123.0,0.0,56.0,318.0,2645.0,1666.0,2001.0,2517.0,2006.0,3930.0,5559.0
27125.0,0.0,0.0,1.0,3.0,-1.0,13.0,13.0,16.0,42.0,57.0
27127.0,0.0,0.0,2.0,3.0,11.0,14.0,32.0,118.0,134.0,221.0
27129.0,0.0,1.0,3.0,1.0,19.0,32.0,28.0,79.0,137.0,201.0
27131.0,0.0,3.0,11.0,448.0,347.0,166.0,218.0,158.0,410.0,997.0
27133.0,0.0,0.0,11.0,11.0,8.0,42.0,32.0,80.0,198.0,89.0
27135.0,0.0,0.0,1.0,1.0,4.0,36.0,31.0,52.0,264.0,313.0
27137.0,0.0,12.0,59.0,47.0,43.0,222.0,502.0,862.0,1645.0,2010.0
27139.0,0.0,10.0,34.0,382.0,232.0,638.0,714.0,653.0,833.0,2100.0
27141.0,0.0,8.0,20.0,215.0,52.0,320.0,300.0,270.0,757.0,1868.0
27143.0,0.0,1.0,1.0,14.0,32.0,28.0,64.0,63.0,37.0,139.0
27145.0,0.0,5.0,262.0,1754.0,244.0,526.0,477.0,851.0,2473.0,3132.0
27147.0,0.0,6.0,10.0,142.0,57.0,106.0,112.0,127.0,173.0,405.0
27149.0,0.0,0.0,0.0,1.0,3.0,11.0,32.0,60.0,94.0,151.0
27151.0,0.0,0.0,2.0,16.0,2.0,31.0,14.0,80.0,93.0,131.0
27153.0,0.0,0.0,7.0,309.0,82.0,15.0,36.0,65.0,351.0,524.0
27155.0,0.0,2.0,0.0,1.0,2.0,5.0,11.0,15.0,22.0,37.0
27157.0,0.0,6.0,2.0,10.0,13.0,47.0,45.0,85.0,227.0,171.0
27159.0,0.0,0.0,1.0,9.0,5.0,8.0,26.0,24.0,128.0,303.0
27161.0,0.0,3.0,1.0,22.0,31.0,71.0,138.0,456.0,234.0,92.0
27163.0,0.0,39.0,92.0,505.0,372.0,809.0,1179.0,954.0,2911.0,3258.0
27165.0,0.0,1.0,10.0,63.0,129.0,96.0,144.0,92.0,54.0,64.0
27167.0,0.0,1.0,11.0,-1.0,9.0,6.0,25.0,20.0,77.0,96.0
27169.0,0.0,10.0,56.0,13.0,40.0,121.0,206.0,477.0,456.0,607.0
27171.0,0.0,6.0,36.0,271.0,132.0,325.0,481.0,462.0,1202.0,1948.0
27173.0,0.0,0.0,3.0,3.0,23.0,18.0,40.0,113.0,92.0,157.0
28001.0,0.0,10.0,123.0,66.0,64.0,302.0,226.0,158.0,144.0,129.0
28003.0,0.0,3.0,7.0,7.0,38.0,280.0,295.0,204.0,269.0,204.0
28005.0,0.0,4.0,25.0,35.0,17.0,112.0,82.0,67.0,85.0,30.0
28007.0,0.0,10.0,89.0,199.0,52.0,136.0,97.0,89.0,133.0,53.0
28009.0,0.0,4.0,7.0,4.0,12.0,91.0,75.0,40.0,127.0,82.0
28011.0,0.0,22.0,80.0,60.0,99.0,656.0,575.0,381.0,199.0,173.0
28013.0,0.0,3.0,47.0,15.0,54.0,247.0,104.0,59.0,110.0,38.0
28015.0,0.0,1.0,37.0,79.0,40.0,83.0,52.0,39.0,137.0,175.0
28017.0,0.0,13.0,55.0,67.0,119.0,166.0,172.0,103.0,167.0,91.0
28019.0,0.0,6.0,7.0,30.0,28.0,53.0,31.0,32.0,16.0,44.0
28021.0,0.0,1.0,21.0,89.0,117.0,170.0,42.0,25.0,80.0,8.0
28023.0,0.0,4.0,50.0,90.0,54.0,99.0,165.0,149.0,178.0,51.0
28025.0,0.0,4.0,36.0,72.0,128.0,123.0,110.0,126.0,85.0,118.0
28027.0,0.0,21.0,40.0,64.0,58.0,449.0,352.0,191.0,65.0,77.0
28029.0,0.0,9.0,87.0,216.0,250.0,335.0,198.0,104.0,188.0,112.0
28031.0,0.0,2.0,60.0,103.0,125.0,285.0,143.0,114.0,176.0,93.0
28033.0,0.0,84.0,198.0,260.0,769.0,1802.0,1511.0,1070.0,1073.0,1996.0
28035.0,0.0,21.0,186.0,357.0,234.0,766.0,564.0,414.0,613.0,246.0
28037.0,0.0,3.0,13.0,13.0,9.0,73.0,64.0,24.0,57.0,19.0
28039.0,0.0,3.0,10.0,12.0,48.0,452.0,160.0,100.0,250.0,115.0
28041.0,0.0,0.0,5.0,8.0,78.0,132.0,72.0,94.0,90.0,75.0
28043.0,0.0,3.0,25.0,66.0,273.0,429.0,151.0,154.0,125.0,72.0
28045.0,0.0,16.0,46.0,29.0,29.0,203.0,172.0,103.0,261.0,201.0
28047.0,0.0,45.0,129.0,84.0,461.0,1329.0,1252.0,641.0,1457.0,1006.0
28049.0,0.0,90.0,380.0,536.0,1105.0,2980.0,1440.0,658.0,634.0,1091.0
28051.0,0.0,15.0,118.0,296.0,91.0,305.0,216.0,59.0,55.0,38.0
28053.0,0.0,3.0,20.0,37.0,60.0,142.0,74.0,41.0,72.0,50.0
28055.0,0.0,0.0,0.0,0.0,6.0,14.0,77.0,9.0,1.0,1.0
28057.0,0.0,3.0,54.0,30.0,35.0,175.0,260.0,302.0,300.0,188.0
28059.0,0.0,40.0,219.0,49.0,197.0,1332.0,1168.0,580.0,1355.0,773.0
