fips_code,county,state,c3_data_id
4001.0,Apache,Arizona,Apache_Arizona_UnitedStates
4003.0,Cochise,Arizona,Cochise_Arizona_UnitedStates
4005.0,Coconino,Arizona,Coconino_Arizona_UnitedStates
4007.0,Gila,Arizona,Gila_Arizona_UnitedStates
4009.0,Graham,Arizona,Graham_Arizona_UnitedStates
4011.0,Greenlee,Arizona,Greenlee_Arizona_UnitedStates
4012.0,La Paz,Arizona,LaPaz_Arizona_UnitedStates
4013.0,Maricopa,Arizona,Maricopa_Arizona_UnitedStates
4015.0,Mohave,Arizona,Mohave_Arizona_UnitedStates
4017.0,Navajo,Arizona,Navajo_Arizona_UnitedStates
4019.0,Pima,Arizona,Pima_Arizona_UnitedStates
4021.0,Pinal,Arizona,Pinal_Arizona_UnitedStates
4023.0,Santa Cruz,Arizona,SantaCruz_Arizona_UnitedStates
4025.0,Yavapai,Arizona,Yavapai_Arizona_UnitedStates
4027.0,Yuma,Arizona,Yuma_Arizona_UnitedStates
5001.0,Arkansas,Arkansas,Arkansas_Arkansas_UnitedStates
5003.0,Ashley,Arkansas,Ashley_Arkansas_UnitedStates
5005.0,Baxter,Arkansas,Baxter_Arkansas_UnitedStates
5007.0,Benton,Arkansas,Benton_Arkansas_UnitedStates
5009.0,Boone,Arkansas,Boone_Arkansas_UnitedStates
5011.0,Bradley,Arkansas,Bradley_Arkansas_UnitedStates
5013.0,Calhoun,Arkansas,Calhoun_Arkansas_UnitedStates
5015.0,Carroll,Arkansas,Carroll_Arkansas_UnitedStates
5017.0,Chicot,Arkansas,Chicot_Arkansas_UnitedStates
5019.0,Clark,Arkansas,Clark_Arkansas_UnitedStates
5021.0,Clay,Arkansas,Clay_Arkansas_UnitedStates
5023.0,Cleburne,Arkansas,Cleburne_Arkansas_UnitedStates
5025.0,Cleveland,Arkansas,Cleveland_Arkansas_UnitedStates
5027.0,Columbia,Arkansas,Columbia_Arkansas_UnitedStates
5029.0,Conway,Arkansas,Conway_Arkansas_UnitedStates
5031.0,Craighead,Arkansas,Craighead_Arkansas_UnitedStates
5033.0,Crawford,Arkansas,Crawford_Arkansas_UnitedStates
5035.0,Crittenden,Arkansas,Crittenden_Arkansas_UnitedStates
5037.0,Cross,Arkansas,Cross_Arkansas_UnitedStates
5039.0,Dallas,Arkansas,Dallas_Arkansas_UnitedStates
5041.0,Desha,Arkansas,Desha_Arkansas_UnitedStates
5043.0,Drew,Arkansas,Drew_Arkansas_UnitedStates
5045.0,Faulkner,Arkansas,Faulkner_Arkansas_UnitedStates
5047.0,Franklin,Arkansas,Franklin_Arkansas_UnitedStates
5049.0,Fulton,Arkansas,Fulton_Arkansas_UnitedStates
5051.0,Garland,Arkansas,Garland_Arkansas_UnitedStates
5053.0,Grant,Arkansas,Grant_Arkansas_UnitedStates
5055.0,Greene,Arkansas,Greene_Arkansas_UnitedStates
